candidate_id,name,source,discovery_sources,website,email,contact_url,country,region,nearest_city,lat,lng,setting,individual_vs_org,service_type_claimed,facilitates_ayahuasca,access_model,legal_status_note,year_founded,capacity,website_primary_language,languages_offered,retreat_lengths_nights,ceremonies_per_retreat,other_plant_medicines,dieta_offered,integration_support_offered,additional_services,price_amount_min_original,price_amount_max_original,price_currency_original,price_min_usd,price_max_usd,price_per_night_usd_min,price_per_night_usd_max,price_as_of_date,whats_included,notable_exclusions,sliding_scale_or_scholarships,indigenous_affiliation_display,indigenous_partnership_claimed,indigenous_leadership_claimed,named_lineage_claimed,lineage_tradition,facilitation_tradition_verbatim,named_indigenous_language,named_team,n_healers,n_facilitators,n_team_total,facilitation_described,healer_facilitator_distinguished,healer_role_term_verbatim,facilitator_role_term_verbatim,n_named_female,n_named_male,n_named_gender_nd,sourcing_claim,reciprocity_claim,benefit_share_amount_claimed,community_benefit_claims,safety_screening_claimed,medical_disclaimer_present,medical_support_onsite_claimed,ssri_maoi_policy_stated,safety_incidents_count,review_sources,notable_press_mentions,confidence_overall,scrape_origin,source_archive_url,source_urls,scraped_at
psychedelic_support:yury-shamis-ma-phd,Inner Focus Therapy,psychedelic_support,psychedelic_support,https://innerfocustherapy.com.au,enquiries@innerfocustherapy.com.au,https://innerfocustherapy.com.au/about,Australia,"Multiple (NSW, QLD, VIC) + New Zealand",Sydney / Sunshine Coast / Melbourne / Brisbane / Auckland,,,,individual_practitioner,integration_only,False,,Provides guidance for those engaging in psychedelic-assisted or ketamine therapies prescribed by qualified medical professionals,,,english,,,,,False,ongoing,psychotherapy; psychedelic-assisted therapy guidance; ketamine support therapy,,,,,,,,,,,,no-stated-affiliation,False,False,,,,,Dr Yury Shamis (Psychotherapist),,,,True,only_facilitator_described,,Psychotherapist,0,1,0,,False,,,False,False,False,False,0,,,medium,,,https://innerfocustherapy.com.au/about; https://psychedelic.support/network/yury-shamis-ma-phd/,2026-07-22T12:13:57.730989+00:00
snowball:mindmedicineinstitute.org.au,Mind Medicine Australia,snowball,snowball,https://mindmedicineinstitute.org.au/,,,Australia,,,-24.7761086,134.755,,organization,integration_only; other,False,,"Registered charity with the Australian Charities and NFPs Commission. Psilocybin and MDMA rescheduled to Schedule 8 (controlled medicines) by the TGA in February 2023, effective July 1, 2023, prescribable by authorised psychiatrists.",,,english,,,,,,,"Certificate in Psychedelic-Assisted Therapies (CPAT™) training program; Fundamentals of Psychedelic-Assisted Therapies (6-part online training); Consulting services; Clinical trials support; Patient Support Fund (PSF); Educational events, film screenings, conferences",,,,,,,,,,,True,no-stated-affiliation,False,False,,,,,,,,,False,,,,0,0,0,,False,,,False,True,False,False,0,,,high,,,https://mindmedicineinstitute.org.au/,2026-07-22T12:14:08.623768+00:00
snowball:schoolofbreathmedicine.com,School of Breath Medicine / Breath Medicine,snowball,snowball,https://schoolofbreathmedicine.com/,info@schoolofbreathmedicine.com,,Australia,Queensland,Mt Tamborine,-27.9684035,153.1967792,other,individual_practitioner,ceremony_facilitation; retreat_package; other,False,retreat_package,,,,english,,1; 3; 4; 5,,cacao,,,breathwork; abdominal reflexology; herbalism; sacred cacao & five element dance; Tao/Tantric women's practices; private sessions; couples sessions; accommodation hire; venue hire; herbal tinctures,,,,,,,,,,,False,trained-in-lineage,False,False,,Universal Tao; Taoist practices; 5 Elements,Taoist practices; 5 Elements; Universal Tao,,Daisy Kaye (Breathwork Facilitator); Stephanie Hazel (facilitator),0,2,,True,only_facilitator_described,,Breathwork Facilitator,1,0,1,,False,,,False,False,False,False,0,,,high,,,https://schoolofbreathmedicine.com/,2026-07-22T12:14:16.490374+00:00
psychedelic_support:tabitha-farrell-ma,"Tabitha Farrell, MA",psychedelic_support,psychedelic_support,https://psychedelic.support/network/tabitha-farrell-ma/,,,Australia,Western Australia,Perth,-31.9558967,115.8605784,,individual_practitioner,integration_only; preparation,False,,Explicitly states: does NOT provide psychedelic-assisted psychotherapy and does NOT provide psychedelic medicines. Site-wide disclaimer: providers do not break U.S. laws.,,,english,english,,,,,ongoing,mindfulness-based skills; integration circles; herbal allies in therapeutic space,,,,,,,,,,,,no-stated-affiliation,False,False,,,,,Tabitha Farrell (Registered Counsellor),,,,True,only_facilitator_described,,Registered Counsellor,1,0,0,,False,,,False,True,False,False,0,,https://youtu.be/gnXG5xHEKTc?si=CT8PhsVS6KS221s7; https://youtu.be/tNYeWnqNEHk?si=ZKIjjcCrqoSHaJBN; https://youtu.be/LQxduNJAsJs?si=AFiJNlW10W_DdA2-,medium,,,https://psychedelic.support/network/tabitha-farrell-ma/,2026-07-22T12:13:52.717900+00:00
psychedelic_support:tobias-penno-msw,"Tobias Penno, MSW",psychedelic_support,psychedelic_support,https://psychedelic.support/network/tobias-penno-msw/,,,Australia,Western Australia,Perth,-31.9558967,115.8605784,,individual_practitioner,integration_only,False,,Providers do not break U.S. laws. Psychedelic Support and listed providers do not endorse the use of illegal substances.,,,english,English,,,,,ongoing,,,,,,,,,,,,,no-stated-affiliation,False,False,,,,,Tobias Penno (Registered Social Worker),,,,True,only_facilitator_described,,Registered Social Worker,0,1,0,,False,,,False,True,False,False,0,,,medium,,,https://psychedelic.support/network/tobias-penno-msw/,2026-07-22T12:13:41.143211+00:00
google_places:akasharetreatcenter.com,Akasha Retreat Center,google_places,google_places,https://www.akasharetreatcenter.com,info@akasharetreatcenter.com,https://www.akasharetreatcenter.com/contact,Belgium,Flanders,Tongeren,50.7806267,5.4639172,other,organization,retreat_package; other,False,retreat_package,Registered as Akasha Retreat Center Vzw (Belgian non-profit association). BTW: BE0717573732. IBAN: BE28 7310 4662 2720.,,30,english,english,4; 4,,cacao,False,during_only,yoga (Hatha Yoga); sound healing; meditation; mantra/chanting; satsang; energy flow (sound and movement); workshops; nature connection; karma yoga; yoga teacher training; sound healing & meditation training; heart to heart healing sessions; gift coupons,575,825,EUR,655.93,941.11,164,235,,organic meals; accommodation,,False,trained-in-lineage,False,False,,non-dual Tantra; Nada Yoga; Hatha Yoga; Hridaya,ancient paths of Yoga and non-dual Tantra; Nada Yoga (sound meditation),,Maarten Surya Adriaenssens (Guidance by Surya Maarten); Sophie (support_staff); Floris (support_staff),,,,True,only_facilitator_described,,Guidance by Surya Maarten,1,1,1,,False,,,False,False,False,False,0,,,high,,,https://www.akasharetreatcenter.com; https://www.akasharetreatcenter.com/; https://www.akasharetreatcenter.com/agenda; https://www.akasharetreatcenter.com/blog; https://www.akasharetreatcenter.com/book-a-room; https://www.akasharetreatcenter.com/contact; https://www.akasharetreatcenter.com/rentingourplace; https://www.akasharetreatcenter.com/silence-and-sound-retreat; https://www.akasharetreatcenter.com/silent-meditation-retreat,2026-07-22T12:13:38.577711+00:00
snowball:tally.so,Tally,snowball,snowball,https://tally.so/,,,Belgium,,,50.6402809,4.6667145,,,,False,,,,,,,,,,,,,,,,,,,,,,,,no-stated-affiliation,False,False,,,,,,,,,,,,,0,0,0,,,,,,,,,0,,,low,,,https://tally.so/; https://tally.so/help/airtable-integration; https://tally.so/help/compare; https://tally.so/help/gdpr; https://tally.so/help/google-sheets-integration; https://tally.so/help/notion-integration; https://tally.so/help/referral-program; https://tally.so/pricing,2026-07-22T12:14:04.040460+00:00
safe_ceremonies:pisatahua-plant-medicine; retreatguru:7655; ayaadvisors:pisatahua,Pisatahua,ayaadvisors; retreatguru; safe_ceremonies,ayaadvisors; retreatguru; safe_ceremonies,https://pisatahua.org,info@pisatahua.org,https://pisatahua.org/contact,Bolivia,Beni,Riberalta,-10.997342,-66.0751504,jungle,organization,ceremony_facilitation; retreat_package; preparation; integration_only,True,retreat_package,Ayahuasca is legal in Bolivia and protected by the new constitution as traditional medicine. Pisatahua operates legally and is fully licensed to work with traditional plant medicines in Bolivia.,,,english,English; Spanish,8; 10,"3–4 (3 ceremonies for 8-day retreat, 4 ceremonies for 10-day retreat)",san pedro/huachuma; tobacco/mapacho; rapé/hape; kambo; coca leaf; willka; San Pedro (Wachuma); tobacco (curandero tabaquero); rapé (Rumē); Kambo (Kapum); Willka; medicinal plant diets; San Pedro/Wachuma; kambo (Kapum); medicinal mushrooms; cacao (wild cocoa referenced),True,ongoing,Yoga classes; Guided meditation; Canoe/boat rides; Guided jungle hikes; Floral baths; Coca-leaf readings; Medicinal plant diets (La Dieta); Art and research residencies; Volunteer program; Pre-arrival hotel reservation support; Post-retreat integration support; Laundry service (fee); Yoga classes & guided meditation (seasonal); Medicinal plant diets; One-on-one consultations with healers; Art & research residencies,945,1895,USD,945,1895,94,237,2026,Pre-arrival support; Local flight and hotel reservation support; Transportation to Lodge; Spacious accommodation in lake-front cabins; All food and drink (detox shamanic diet); Consultation with healers; Multi-lingual staff support; Coca-leaf readings; Small-group ayahuasca ceremonies; Medicinal plant diets; Yoga classes and guided meditation (seasonal); Canoe/boat rides; Guided jungle hikes; Floral baths; Integration support; Transportation to lodge; Transportation to and from airport; Spacious Accommodation in Lake-Front Cabins; All Food and Drink (Detox Shamanic Diet); Consultation with Healers; Multi-Lingual Staff Support; Coca-Leaf Readings; Small-Group Ayahuasca Ceremonies; Medicinal Plant Diets; Yoga Classes & Guided Meditation (Seasonal); Canoe/Boat Rides; Guided Jungle Hikes; Floral Baths; Integration Support,Flights; Pre/post-retreat hotel; Laundry service (fee charged); Hotel in Riberalta before/after retreat; Laundry service (fee applies); Flights to/from Riberalta; Pre/post-retreat hotel stays; Optional laundry service,True,indigenous-healer-on-staff,True,False,Yawanawá (Matsiní Vena Yawanawá); Aymara (Wara Wara Puma); Tacana (Don Marcial); Quechua and Aymara (Tupak Wayra),Amazonian; Andean; Yawanawá; Aymara; Quechua; vegetalismo; Tacana,diverse backgrounds of wisdom-traditions from the Amazon and Andes,"Shipibo, Yawanawá, Aymara, Quechua","Don Marcial (Master Curandero / Healer); Wara Wara Puma (Healer / female Shaman); Matsini (Healer / pajé); Ximena Aketzalli Ferrín (Healer / medicine woman / Spiritual Leader); El Niño (Healer / curandero ayahuasquero, curandero tabaquero, curandero palero, curandero perfumero, curandero oracionista); Tupak Wayra (Healer / Bolivian healer); Karina Mariaca de Oliveira (Healer / Medicine Woman); Hilvert Timmer (Healer / shamanic healer); Chaca (Owner/Founder / Facilitator); Erik (Facilitator/Volunteer); Sasha (Facilitator/Volunteer); Carlos Gil (Webmaster); Elver Juan Canamari (Caretaker (Don Choco)); Artemia Cortés Aguilera (Caretaker (Doña Arte)); Wilfredo Salas Chamero (Construction); José Rodriguez Gutia (Construction); Juan Carlos (Maintenance); Don Marcial (Master Curandero / Healer); Wara Wara Puma (Healer / female Shaman); Matsini (Healer / pajé); Ximena Aketzalli Ferrín (Healer); El Niño (curandero ayahuasquero, curandero tabaquero, curandero palero, curandero perfumero, curandero oracionista); Tupak Wayra (Healer / Bolivian healer); Karina (Healer / Medicine Woman); Hilvert (Healer / shamanic healer); Chaca (Owner/Founder); Erik (Facilitator/Volunteer); Elver Juan Canamari (Caretaker); Artemia Cortés Aguilera (Caretaker); Don Marcial (Master Curandero); Wara Wara Puma (Healer / female Shaman); Matsini (Healer / pajé); Ximena Aketzalli Ferrín (Healer / medicine woman / Spiritual Leader); El Niño (curandero ayahuasquero, curandero tabaquero, curandero palero, curandero perfumero, curandero oracionista); Tupak Wayra (Healer / Bolivian healer); Karina Mariaca de Oliveira (Medicine Woman / healer / facilitator); Hilvert Timmer (shamanic healer); Chaca (Owner/Founder); Erik (Facilitator/Volunteer); Sasha (Facilitator/Volunteer); Carlos Gil (Webmaster); Elver Juan Canamari (Caretaker); Artemia Cortés Aguilera (Caretaker)",8,3,,True,distinct_roles,"curandero, healer, shaman, medicine woman, pajé","facilitator, facilitator/volunteer",12,21,10,sustainably_sourced,True,Retreat fees help fund community development and conservation projects.,"Retreat fees help fund community development and conservation projects. [https://pisatahua.org/ayahuasca-retreats]; Scholarship options are available for Bolivians with limited resources. [https://pisatahua.org/ayahuasca-retreats]; Pisatahua has non-profit organizations (referenced under 'Pisatahua's Non-Profits', Reforestation, and Bolivian Scholarships menu items). [https://pisatahua.org/]; Reciprocity is one of the guiding principles of 'Living Well.' Exploitive relationships with Nature, or with fellow human beings, create disequilibrium. [https://pisatahua.org/mission-statement]; Scholarship program to support individuals seriously committed to their healing process, with special emphasis given to local Bolivian nationals. [https://pisatahua.org/frequently-asked-questions]; Pisatahua has non-profits; runs reforestation and Bolivian scholarship programs. [https://pisatahua.org/]; Reciprocity is one of the guiding principles; exploitive relationships with Nature or fellow human beings create disequilibrium. [https://pisatahua.org/mission-statement]",True,True,True,False,0,Google None (65),,high,US,,https://pisatahua.org/; https://pisatahua.org/ayahuasca-diet; https://pisatahua.org/ayahuasca-integration; https://pisatahua.org/ayahuasca-retreats; https://pisatahua.org/ayahuasca-safety; https://pisatahua.org/frequently-asked-questions; https://pisatahua.org/mission-statement; https://pisatahua.org/staff,2026-07-22T12:13:40.328091+00:00
retreatguru:844,SachaRuna (Sacha Runa Allkamari Shamanic Retreat Center),retreatguru,retreatguru,https://sacharuna.com,info@sacharuna.com,https://sacharuna.com,Bolivia,La Paz,La Paz,-16.4955455,-68.1336229,mountain,organization,ceremony_facilitation; retreat_package,True,retreat_package,,,,english,english; spanish,3; 7; 15; 21,"1, 3, 5, or 7 ceremonies per retreat (as stated: ""You may participate in one ceremony or longer retreats with 3, 5 or 7 ceremonies"")",wachuma/san pedro (Trichocereus Bridgesii); tobacco (blowing during ceremony),True,aftercare_included,"yoga; tai-chi; meditation; massage; reflexology; reiki; trekking (half day, full day, three day); hiking; mountain biking; horse back riding; jacuzzi; sauna; vision quests; sun-moon dance; temazcal/sweat lodge; sacred pilgrimage; kiva; long dance",349,1453,USD,349,1453,17,484,,one-hour introductory talk and meditation; 4-hour Amazonian shamanic ceremony; 4 hours sleep in shared gender specific dorm; small breakfast; two-hour sharing/integration circle,,False,trained-in-lineage,True,False,"Don Policarpio Flores Apaza, Don Hector Aguanari, Chogyal Rinpoche, Joseph Rael, Babaji Baldev Singh, Don Agustin Rivas",Amazonian shamanic; Andean,traditional Amazonian shamanic healing ceremony,Quechua,Miguel Kavlin (Head Shaman & Founder); Julio Añez (Resident Shaman); Phillip Josey (unclear); Angela Muñiz (unclear); Juan Macome (shaman / guide),2,,,True,distinct_roles,shaman,guide,0,2,3,unspecified,True,,"Working with neighboring Aymara village of Camiraya to help them create a cultural tourism company to ensure an economic future for themselves, while preserving their traditional lifestyle. [https://retreat.guru/centers/844-1/sacha-runa-allkamari-shamanic-retreat-center]; COME SUPPORT BOLIVIA — COME TO BOLIVIA FOR YOUR NEXT HEALING/SHAMANIC/SPIRITUAL RETREAT [to ameliorate forest fires in Amazon] [https://retreat.guru/centers/844-1/sacha-runa-allkamari-shamanic-retreat-center]",True,True,False,True,1,RetreatGuru 4.89 (9); RetreatGuru 4.96 (None),,medium,,,https://retreat.guru/centers/844-1/sacha-runa-allkamari-shamanic-retreat-center; https://sacharuna.com; https://sacharuna.com/; https://sacharuna.com/ofrecemos/ayahuasca/?portfolioCats=12,2026-07-22T12:13:29.811716+00:00
retreatguru:9302,Toca Do Dragao | Casa Pueblo,retreatguru,retreatguru,,,https://retreat.guru/centers/9302-1/toca-do-dragao-,Bolivia,Chuquisaca,Sucre,-19.0477251,-65.2594306,mountain,organization,ceremony_facilitation; retreat_package,True,retreat_package,,,,english,,3; 5; 12,,,,,Spa; Sauna; Pool; Hot Tub; Fitness Center; Yoga Studio; Tour Assistance; Bicycles For Rent; Restaurant/Cafe; Free Wifi; Free Parking; Housekeeping,300,1600,USD,300,1600,25,533,,,,,trained-in-lineage,False,False,,Buddhism; Shamanism; Hinduism; Sufism,"Inspired by the traditions of Buddhism, Shamanism, Hinduism, Sufism, and the ancestral wisdom of various peoples",,Rámana (Guide); Martin (Guide); Tata (Guide),,3,,True,only_facilitator_described,,Guide,0,0,3,,False,,,False,False,False,False,0,,,medium,,,https://retreat.guru/centers/9302-1/toca-do-dragao-,2026-07-22T12:13:48.932260+00:00
